reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
15,35,13,0,0,0,1,0.0926442,,0.0164103,0.0926442,0.9993979,0.9993979,1.1001434,8.6897427,l,7.6750188,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
67,75,119,0,1,1,5,8.7038189,,8.6933015,8.7038189,9.6924532,9.6924532,9.709153,10.8804153,t,1.1859973,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
49,60,89,0,2,2,4,10.8961473,,10.8819013,10.8961473,11.8953545,11.8953545,11.8953545,12.4816181,t,0.57019,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
27,50,21,0,3,3,2,12.4963918,,12.4832812,12.4963918,13.4974652,13.4974652,13.4974652,14.5010279,t,0.9982446,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
40,55,62,0,4,4,3,14.5149447,,14.5022399,14.5149447,15.5161368,15.5161368,15.5161368,16.1521901,t,0.6272413,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
78,80,162,0,5,5,6,16.1670394,,16.1533162,16.1670394,17.1679831,17.1679831,17.1679831,17.9532285,t,0.7714263,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
11,30,7,0,6,6,0,17.9684915,,17.9538979,17.9684915,18.9532171,18.9532171,18.9700169,20.3229093,l,1.3625173,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
11,30,7,1,0,7,0,20.3379547,,20.3239541,20.3379547,21.3393343,21.3393343,21.3393343,22.9259301,l,1.5748396,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
40,55,62,1,1,8,3,22.9405932,,22.927104,22.9405932,23.9252097,23.9252097,23.9422188,24.6443792,t,0.7123474,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
27,50,21,1,2,9,2,24.6594121,,24.6456318,24.6594121,25.6607385,25.6607385,25.6607385,26.7970667,t,1.1256577,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
78,80,162,1,3,10,6,26.8118501,,26.7982198,26.8118501,27.8130072,27.8130072,27.8130072,28.6496745,t,0.8317197,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
49,60,89,1,4,11,4,28.6643364,,28.6509253,28.6643364,29.6650371,29.6650371,29.6650371,32.7039612,t,3.0278309,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
67,75,119,1,5,12,5,32.7181708,,32.705047,32.7181708,33.7194584,33.7194584,33.7194584,34.4212122,t,0.6925463,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
15,35,13,1,6,13,1,34.4367013,,34.4220407,34.4367013,35.421963,35.421963,35.4383025,36.6074052,t,1.1713468,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
11,30,7,2,0,14,0,36.6221928,,36.6084213,36.6221928,37.6237243,37.6237243,37.6237243,38.3933986,l,0.7632903,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
67,75,119,2,1,15,5,38.408055,,38.3946241,38.408055,39.4090673,39.4090673,39.4090673,40.0295369,t,0.6184702,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
78,80,162,2,2,16,6,40.0429748,,40.0307466,40.0429748,41.0440569,41.0440569,41.0440569,41.4962812,t,0.4385824,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
27,50,21,2,3,17,2,41.5112095,,41.497504,41.5112095,42.512426,42.512426,42.512426,43.8160367,t,1.2946365,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
49,60,89,2,4,18,4,43.8311935,,43.8172251,43.8311935,44.831757,44.831757,44.831757,45.3680786,t,0.5278473,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
15,35,13,2,5,19,1,45.382269,,45.3692628,45.382269,46.3835461,46.3835461,46.3835461,47.1530841,t,0.7623385,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
40,55,62,2,6,20,3,47.1671299,,47.1541858,47.1671299,48.1690103,48.1690103,48.1690103,48.7049379,t,0.5305891,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
40,55,62,3,0,21,3,48.7189018,,48.7057958,48.7189018,49.7206283,49.7206283,49.7206283,50.1558821,t,0.4286327,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
78,80,162,3,1,22,6,50.1705025,,50.1569365,50.1705025,51.1720962,51.1720962,51.1720962,51.640962,t,0.4528616,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
49,60,89,3,2,23,4,51.6559363,,51.6419549,51.6559363,52.6570416,52.6570416,52.6570416,53.1424875,t,0.4726265,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
11,30,7,3,3,24,0,53.1576758,,53.1437371,53.1576758,54.1589318,54.1589318,54.1589318,54.5448106,t,0.3835458,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
15,35,13,3,4,25,1,54.5594878,,54.5460019,54.5594878,55.5603585,55.5603585,55.5603585,56.2131907,t,0.6497477,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
67,75,119,3,5,26,5,56.2275694,,56.2143332,56.2275694,57.2287308,57.2287308,57.2287308,57.8315443,t,0.600492,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
27,50,21,3,6,27,2,57.8458132,,57.8328022,57.8458132,58.8472683,58.8472683,58.8472683,59.4155525,t,0.5539333,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
15,35,13,4,0,28,1,59.4306837,,59.4162672,59.4306837,60.4161016,60.4161016,60.4324775,61.3021067,t,0.8760094,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
40,55,62,4,1,29,3,61.3162904,,61.3033238,61.3162904,62.317462,62.317462,62.317462,62.7368768,t,0.4026369,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
78,80,162,4,2,30,6,62.7510582,,62.7381727,62.7510582,63.7525323,63.7525323,63.7525323,65.0723682,t,1.3078223,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
67,75,119,4,3,31,5,65.0870527,,65.0733505,65.0870527,66.0886974,66.0886974,66.0886974,67.7756263,t,1.6848215,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
27,50,21,4,4,32,2,67.7901802,,67.7768115,67.7901802,68.7914907,68.7914907,68.7914907,70.0108564,t,1.206716,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
11,30,7,4,5,33,0,70.0284968,,70.0118019,70.0284968,71.0103317,71.0103317,71.0441249,71.5456673,l,0.520968,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
49,60,89,4,6,34,4,71.5608565,,71.546284,71.5608565,72.5457756,72.5457756,72.5622575,74.1488544,t,1.5928219,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
40,55,62,5,0,35,3,74.1637598,,74.15,74.1637598,75.1486286,75.1486286,75.1655318,75.934287,t,0.7706448,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
49,60,89,5,1,36,4,75.9488805,,75.9354124,75.9488805,76.9504512,76.9504512,76.9504512,77.4038524,t,0.4370492,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
78,80,162,5,2,37,6,77.4176756,,77.4053316,77.4176756,78.4185025,78.4185025,78.4185025,81.657946,t,3.2292782,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
15,35,13,5,3,38,1,81.6718414,,81.6590528,81.6718414,82.6735574,82.6735574,82.6735574,85.1103302,l,2.4298558,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
67,75,119,5,4,39,5,85.1254689,,85.1110259,85.1254689,86.1108908,86.1108908,86.1273762,87.0314435,t,0.9180968,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
11,30,7,5,5,40,0,87.046088,,87.0327208,87.046088,88.0463474,88.0463474,88.0463474,89.8151617,l,1.7531548,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
27,50,21,5,6,41,2,89.8306379,,89.8158592,89.8306379,90.8159359,90.8159359,90.8325797,92.5867003,t,1.7658095,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
15,35,13,6,0,42,1,92.6006193,,92.5878364,92.6006193,93.6016172,93.6016172,93.6016172,95.9235099,t,2.310473,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
40,55,62,6,1,43,3,95.9382083,,95.9247248,95.9382083,96.9384252,96.9384252,96.9384252,97.6416877,t,0.6958743,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
78,80,162,6,2,44,6,97.6564044,,97.6428362,97.6564044,98.6576692,98.6576692,98.6576692,99.2284738,t,0.5666555,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
11,30,7,6,3,45,0,99.2425435,,99.2297138,99.2425435,100.2427091,100.2427091,100.2427091,101.1617926,l,0.9104925,None,128107,1,2024-11-13_22h43.15.103,DelayDiscountingExperiment,2024.1.5,None,2024-11-13 22h43.22.614994 +0530
